Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ordinary_teacher,,,,2019-12-09 12:20:24,2019-12-09 12:20:51,27.123s,INCOMPLETE
,,,,,,,
Test Cases/Android/Public_module/start_app/start_app,,开启app,,2019-12-09 12:20:24,2019-12-09 12:20:37,12.520s,PASSED
"startExistingApplication(G_AppId, STOP_ON_FAILURE)",,开启app,,2019-12-09 12:20:25,2019-12-09 12:20:37,12.190s,PASSED
,,,,,,,
Test Cases/Android/Public_module/choose_city/choose_city_puning,,选择普宁地区,,2019-12-09 12:20:37,2019-12-09 12:20:41,4.246s,PASSED
"tap(findTestObject(""Object Repository/Android/login_page_element/change_city_btn""), 0)",,点击左上角选择地区,,2019-12-09 12:20:37,2019-12-09 12:20:39,1.974s,PASSED
"tap(findTestObject(""Object Repository/Android/city/cityAndImage_puning""), 0)",,选择普宁地区,,2019-12-09 12:20:39,2019-12-09 12:20:41,1.927s,PASSED
,,,,,,,
Test Cases/Android/Public_module/login_app/login,,登录账号,,2019-12-09 12:20:41,2019-12-09 12:20:51,9.833s,PASSED
"clearText(findTestObject(""Object Repository/Android/login_page_element/username_text""), 0)",,清楚账号,,2019-12-09 12:20:41,2019-12-09 12:20:43,1.397s,PASSED
"setText(findTestObject(""Object Repository/Android/login_page_element/username_text""), username, 0)",,输入账号,,2019-12-09 12:20:43,2019-12-09 12:20:45,2.116s,PASSED
"setText(findTestObject(""Android/login_page_element/password_text""), password, 0)",,输入密码,,2019-12-09 12:20:45,2019-12-09 12:20:47,1.839s,PASSED
"tap(findTestObject(""Object Repository/Android/login_page_element/login_btn""), 0)",,点击登录按钮登录,,2019-12-09 12:20:47,2019-12-09 12:20:51,4.130s,PASSED
